Sigla;Código;Município;1970;1980;1991;2000;2010;
MG;3128204;Guaraciaba;51,18;56,44;61,999;66,347;72,61;
MG;3128253;Guaraciama;;;66,288;69,434;73,4;
MG;3128303;Guaranésia;51,96;57,3;68,97;71,94;75,7;
MG;3128402;Guarani;51,65;57,82;67,879;73,501;75,96;
MG;3128501;Guarará;53,32;57,63;64,842;70,595;73,1;
MG;3128600;Guarda-Mor;53,75;57,8;64,703;69,113;74,76;
MG;3128709;Guaxupé;51,55;56,45;70,493;73,648;77,81;
MG;3128808;Guidoval;49,78;55,66;62,056;70,519;75,22;
MG;3128907;Guimarânia;53,05;59,25;69,606;73,57;74,51;
MG;3129004;Guiricema;54,94;57,82;67,844;73,501;73,74;
MG;3129103;Gurinhatã;52,33;60,98;68,732;72,207;76,88;
MG;3129202;Heliodora;48,77;55,02;66,851;70,901;74,29;
MG;3129301;Iapu;50,04;53,95;67,717;70,073;74,12;
MG;3129400;Ibertioga;55,91;56,59;67,479;70,932;75,01;
MG;3129509;Ibiá;52,4;57,01;68,231;72,449;77,62;
MG;3129608;Ibiaí;48,96;56,24;66,672;71,8;72,71;
MG;3129657;Ibiracatu;;;62,272;66,836;72,17;
MG;3129707;Ibiraci;52,47;57,62;66,036;72,678;76,28;
MG;3129806;Ibirité;44,45;54,74;65,526;68,423;75,41;
MG;3129905;Ibitiúra de Minas;57,15;62,32;71,475;74,41;73,14;
MG;3130002;Ibituruna;53,99;58,9;65,792;67,88;74,39;
MG;3130051;Icaraí de Minas;;;65,901;69,056;72,96;
MG;3130101;Igarapé;48,44;56,12;68,275;69,446;75,63;
MG;3130200;Igaratinga;53,27;59,34;66,874;69,616;75,54;
MG;3130309;Iguatama;49,71;58,61;66,386;72,325;74,51;
MG;3130408;Ijaci;48,22;57,58;67,528;70,675;75,37;
MG;3130507;Ilicínea;55,85;58,03;70,14;72,253;74,61;
MG;3130556;Imbé de Minas;;;61,943;68,413;69,66;
MG;3130606;Inconfidentes;45,79;57,31;67,348;72,383;75,59;
MG;3130655;Indaiabira;;;54,963;60,282;73,26;
MG;3130705;Indianópolis;48,44;60,42;67,835;72,423;75,06;
MG;3130804;Ingaí;57,11;62,85;67,657;70,675;76,45;
MG;3130903;Inhapim;47,64;53,58;67,717;71,379;74,72;
MG;3131000;Inhaúma;52,01;56,76;64,805;69,884;75,71;
MG;3131109;Inimutaba;54,33;57,34;62,083;66,013;73,61;
MG;3131158;Ipaba;;;65,171;67,423;74,72;
MG;3131208;Ipanema;52,75;56,46;62,066;70,004;75,87;
MG;3131307;Ipatinga;47,18;55;67,374;72,236;76,85;
MG;3131406;Ipiaçu;51,71;55,77;68,462;72,207;73,82;
MG;3131505;Ipuiúna;50,03;61,58;67,068;73,834;76,98;
MG;3131604;Iraí de Minas;53;58,78;66,134;70,583;75,84;
MG;3131703;Itabira;51,95;56,75;67,72;72,798;77,37;
MG;3131802;Itabirinha de Mantena;45,45;53,48;63,805;67,895;75,3;
MG;3131901;Itabirito;51,6;57,49;68,3;70,36;74,68;
MG;3132008;Itacambira;55,06;61,12;65,463;69,84;72,44;
MG;3132107;Itacarambi;47,85;55,61;56,537;59,406;72,22;
MG;3132206;Itaguara;50,18;56,25;65,381;69,142;75,14;
MG;3132305;Itaipé;44,65;54,72;64,075;67,641;70,52;
MG;3132404;Itajubá;49,98;57,84;70,741;70,862;78,06;
MG;3132503;Itamarandiba;51,79;57,63;61,811;66,769;72,86;
MG;3132602;Itamarati de Minas;52,54;57,5;67,365;71,099;75,45;
MG;3132701;Itambacuri;48,52;54,52;61,13;63,961;72,05;
MG;3132800;Itambé do Mato Dentro;45,49;55,9;65,543;67,718;74,39;
MG;3132909;Itamogi;56,37;57,56;68,842;72,454;73,61;
MG;3133006;Itamonte;49,09;64,27;68,14;75,173;76,17;
MG;3133105;Itanhandu;48,14;58,95;66,657;72,828;77,23;
MG;3133204;Itanhomi;50,33;55,46;64,117;69,382;74,85;
MG;3133303;Itaobim;46,06;52,24;65,714;69,607;72,19;
MG;3133402;Itapagipe;55,37;58,78;68,495;73,97;76,64;
MG;3133501;Itapecerica;54,95;60,81;67,134;72,655;75,73;
MG;3133600;Itapeva;55,97;57,58;70,986;71,55;77,69;
MG;3133709;Itatiaiuçu;50,18;56,25;65,381;68,702;75;
MG;3133758;Itaú de Minas;;;66,836;71,333;76,74;
MG;3133808;Itaúna;51,36;59,34;68,847;75,221;76,02;
MG;3133907;Itaverava;55,38;57,48;67,845;70,279;73,63;
MG;3134004;Itinga;50,12;54,48;61,948;66,878;72,83;
MG;3134103;Itueta;54,85;56,46;63,924;69,484;74,51;
MG;3134202;Ituiutaba;51,59;59,04;70,301;75,904;75,37;
MG;3134301;Itumirim;52,24;62,81;67,657;72,682;75,39;
MG;3134400;Iturama;51,47;59,5;68,773;72,959;75,88;
MG;3134509;Itutinga;57,08;58,83;65,555;70,675;77,67;
MG;3134608;Jaboticatubas;52,65;57,81;64,033;69,193;75,19;
MG;3134707;Jacinto;47,02;51,53;60,048;64,898;73,4;
MG;3134806;Jacuí;53,2;55,99;65,571;72,27;73,61;
MG;3134905;Jacutinga;53,56;60,63;71,475;74,41;76,82;
MG;3135001;Jaguaraçu;54,01;61,49;67,374;72,727;76,35;
MG;3135050;Jaíba;;;56,792;65,454;72,33;
MG;3135076;Jampruca;;;53,014;59,406;71,86;
MG;3135100;Janaúba;46,45;53,73;66,021;69,571;72,74;
MG;3135209;Januária;49,36;54,82;62,818;69,91;74,22;
MG;3135308;Japaraíba;49,47;56,38;64,182;69,975;75,62;
MG;3135357;Japonvar;;;63,708;66,836;72,17;
MG;3135407;Jeceaba;50,18;56,25;65,381;70,904;75,66;
MG;3135456;Jenipapo de Minas;;;60,104;64,258;72,59;
MG;3135506;Jequeri;44;55,03;64,246;66,347;72,61;
MG;3135605;Jequitaí;46,45;55,25;66,672;71,8;72,79;
MG;3135704;Jequitibá;51,18;62,04;59,656;65,616;76,26;
MG;3135803;Jequitinhonha;48,53;55,66;65,924;69,255;73,99;
MG;3135902;Jesuânia;53,92;56,76;68,14;71,531;74,88;
MG;3136009;Joaíma;48,67;53,41;59,194;65,805;72,36;
MG;3136108;Joanésia;48,08;55,29;65,483;67,655;73,2;
MG;3136207;João Monlevade;50,07;56,9;68,311;74,643;75,93;
MG;3136306;João Pinheiro;50,3;59,59;65,78;71,459;72,25;
MG;3136405;Joaquim Felício;54,1;57,34;61,161;65,214;74,44;
MG;3136504;Jordânia;46,16;53,59;63,226;64,686;72,82;
MG;3136520;José Gonçalves de Minas;;;61,315;66,595;70,81;
MG;3136553;José Raydan;;;56,341;62,679;72,94;
MG;3136579;Josenópolis;;;64,075;68,512;71,94;
MG;3136603;Nova União;51,81;56,77;63,782;66,357;74,06;
MG;3136652;Juatuba;;;64,064;69,873;75,94;
MG;3136702;Juiz de Fora;51,48;57,08;67,995;72,027;75,65;
MG;3136801;Juramento;54,01;58,68;61,751;67,038;73,48;
MG;3136900;Juruaia;54,86;58,09;69,472;72,248;76,61;
MG;3136959;Juvenília;;;57,039;64,327;71,57;
MG;3137007;Ladainha;43,48;53,29;60,874;65,708;70,26;
MG;3137106;Lagamar;53,4;58,77;65,78;67,18;75,31;
MG;3137205;Lagoa da Prata;51,16;55,1;64,264;69,924;74,89;
MG;3137304;Lagoa dos Patos;50,11;56,74;61,602;67,292;71,36;
MG;3137403;Lagoa Dourada;51,7;55,7;67,9;69,749;74,68;
MG;3137502;Lagoa Formosa;52,78;60,27;69,606;72,707;74,91;
MG;3137536;Lagoa Grande;;;63,813;66,654;73,72;
MG;3137601;Lagoa Santa;50,84;59,39;67,587;69,115;76,43;
MG;3137700;Lajinha;49,28;58,25;65,654;67,706;73,6;
MG;3137809;Lambari;52,09;60,84;68,14;72,828;77,23;
MG;3137908;Lamim;53,05;56,8;63,557;67,416;74,7;
MG;3138005;Laranjal;53,21;59,66;67,365;75,21;76,42;
MG;3138104;Lassance;51,28;60,61;66,672;68,476;72,71;
MG;3138203;Lavras;49,54;57,39;67,528;72,407;77,8;
MG;3138302;Leandro Ferreira;51,49;56,53;61,786;69,766;77,49;
MG;3138351;Leme do Prado;;;64,953;66,595;71,73;
MG;3138401;Leopoldina;51,86;59,36;67,365;72,346;77,04;
MG;3138500;Liberdade;52,11;60,74;66,275;73,236;75,01;
MG;3138609;Lima Duarte;52,86;57,22;68,045;70,45;76,68;
MG;3138625;Limeira do Oeste;;;67,003;72,959;75,04;
MG;3138658;Lontra;;;64,098;67,038;72,61;
MG;3138674;Luisburgo;;;62,254;67,891;73,53;
MG;3138682;Luislândia;;;64,098;67,038;72,96;
MG;3138708;Luminárias;53,5;58,31;67,657;70,767;74,27;
MG;3138807;Luz;54,15;63,01;67,633;71,301;75;
MG;3138906;Machacalis;48,23;53;59,155;63,516;71,96;
MG;3139003;Machado;51,83;56,09;67,588;72,096;75,9;
MG;3139102;Madre de Deus de Minas;50,71;55,7;64,561;69,14;76,38;
MG;3139201;Malacacheta;45,89;53,18;62,77;66,421;71,05;
MG;3139250;Mamonas;;;62,661;64,942;71,73;
MG;3139300;Manga;48,34;55,34;54,542;59,406;72,96;
MG;3139409;Manhuaçu;49,05;54,6;64,695;73,36;75,35;
MG;3139508;Manhumirim;49,99;58,25;65,668;69,675;75,74;
MG;3139607;Mantena;49,08;52,49;65,171;68,576;73,16;
MG;3139706;Maravilhas;55,2;58,97;66,059;71,217;75,7;
MG;3139805;Mar de Espanha;54,26;56,78;66,226;68,373;74,51;
MG;3139904;Maria da Fé;47,91;59,61;64,07;67,419;75,53;
MG;3140001;Mariana;51,19;55,67;68,3;70,428;77,43;
MG;3140100;Marilac;47,39;55,46;60,263;66,718;71,86;
MG;3140159;Mário Campos;;;61,605;64,988;74,99;
MG;3140209;Maripá de Minas;48,13;57,63;64,842;70,595;75,84;
MG;3140308;Marliéria;48,43;52,42;66,225;69,984;75,29;
MG;3140407;Marmelópolis;47,83;55,8;64,07;69,771;73,36;
MG;3140506;Martinho Campos;54;58,86;67,116;69,924;75,61;
MG;3140530;Martins Soares;;;68,198;69,675;73,53;
MG;3140555;Mata Verde;;;56,57;60,671;69,92;
MG;3140605;Materlândia;48,48;55,43;60,293;66,756;71,16;
MG;3140704;Mateus Leme;48,63;56,12;64,245;68,19;75,36;
MG;3140803;Matias Barbosa;52,13;57,79;67,247;73,316;76,73;
MG;3140852;Matias Cardoso;;;57,039;64,327;72,96;
MG;3140902;Matipó;47,01;59,61;59,537;64,399;71,8;
MG;3141009;Mato Verde;50,28;54,99;63,95;68,008;72,33;
MG;3141108;Matozinhos;51,18;56,76;68,565;71,537;76,82;
MG;3141207;Matutina;53,05;59,25;67,603;72,917;76,53;
MG;3141306;Medeiros;52,38;58,63;68,604;74,072;76,04;
MG;3141405;Medina;49,08;52,09;62,48;65,695;74,27;
MG;3141504;Mendes Pimentel;47,17;57,36;65,58;67,895;71,09;
MG;3141603;Mercês;50,28;54,6;62,06;70,519;74,85;
MG;3141702;Mesquita;46,68;55,29;62,326;66,211;72,76;
MG;3141801;Minas Novas;55,14;57,63;64,953;67,106;73,14;
MG;3141900;Minduri;57,45;58,69;66,275;71,696;73,32;
MG;3142007;Mirabela;52,1;55,19;64,098;67,038;72,61;
MG;3142106;Miradouro;51,58;59,19;64,522;69,347;74,64;
MG;3142205;Miraí;50,55;57,55;65,994;68,401;75,19;
MG;3142254;Miravânia;;;65,901;69,91;71,88;
MG;3142304;Moeda;50,18;56,25;65,381;69,142;73,01;
MG;3142403;Moema;51,07;53,9;65,538;70,471;75,87;
MG;3142502;Monjolos;52,09;61,59;62,083;65,214;74,16;
MG;3142601;Monsenhor Paulo;52,49;54,94;65,379;72,253;75,32;
MG;3142700;Montalvânia;48,34;55,31;61,687;65,35;72,96;
MG;3142809;Monte Alegre de Minas;51,39;60,56;67,835;70,423;75,86;
MG;3142908;Monte Azul;46,91;54,46;60,997;67,878;73,63;
MG;3143005;Monte Belo;52,36;54,39;64,259;68,481;75,82;
MG;3143104;Monte Carmelo;52,08;59,37;68,588;70,95;77,1;
MG;3143153;Monte Formoso;;;58,174;60,671;70,92;
MG;3143203;Monte Santo de Minas;52,67;56,97;64,259;70,232;77,46;
MG;3143302;Montes Claros;51,86;58,04;69,433;72,247;77,07;
MG;3143401;Monte Sião;55,39;62,71;69,642;75,983;77,69;
MG;3143450;Montezuma;;;54,635;59,271;73,55;
MG;3143500;Morada Nova de Minas;49,41;58,98;68,044;73,897;74,79;
MG;3143609;Morro da Garça;50,12;58,92;58,555;65,214;73,97;
MG;3143708;Morro do Pilar;50,99;55,9;58,563;67,777;73,55;
MG;3143807;Munhoz;54,78;58,3;69,314;70,665;74,25;
MG;3143906;Muriaé;48,99;57,09;68,729;72,022;76,18;
MG;3144003;Mutum;54,04;57,41;63,385;70,004;74,3;
MG;3144102;Muzambinho;53,2;56,98;70,493;73,147;76,51;
MG;3144201;Nacip Raydan;49,09;55,46;55,637;59,406;74,85;
MG;3144300;Nanuque;45,58;51,87;59,329;63,516;76,02;
MG;3144359;Naque;;;62,241;67,885;74,32;
MG;3144375;Natalândia;;;66,834;67,96;75,78;
MG;3144409;Natércia;49,32;57,65;69,594;74,588;73,28;
MG;3144508;Nazareno;43,8;53,66;64,561;67,749;74,82;
MG;3144607;Nepomuceno;53,78;58,83;64,671;71,294;74,3;
MG;3144656;Ninheira;;;63,894;69,559;72,01;
MG;3144672;Nova Belém;;;59,504;64,472;71,06;
MG;3144706;Nova Era;46,91;56,77;65,707;73,618;74,48;
MG;3144805;Nova Lima;48,99;57,95;66,533;70,574;78,1;
MG;3144904;Nova Módica;50,32;54,39;63,143;66,718;71,72;
MG;3145000;Nova Ponte;55,04;57,59;67,73;74,607;75,08;
MG;3145059;Nova Porteirinha;;;65,233;67,878;73,63;
MG;3145109;Nova Resende;54,08;56,93;64,259;68,481;75,33;
MG;3145208;Nova Serrana;53,25;59,34;70,869;75,366;76,82;
MG;3145307;Novo Cruzeiro;50,94;59,85;61,948;64,187;72,83;
MG;3145356;Novo Oriente de Minas;;;58,588;62,648;70,26;
MG;3145372;Novorizonte;;;56,363;65,914;73,26;
MG;3145406;Olaria;53,91;57,63;62,031;66,089;74,37;
MG;3145455;Olhos-d'Água;;;64,577;71,531;73,72;
MG;3145505;Olímpio Noronha;53,37;58,95;66,69;72,828;73,56;
MG;3145604;Oliveira;53,58;57,64;68,924;71,993;75,51;
MG;3145703;Oliveira Fortes;58,48;60,13;66,322;68,688;72,61;
MG;3145802;Onça de Pitangui;50,8;57;69,404;74,381;73,33;
MG;3145851;Oratórios;;;58,032;63,357;74,42;
MG;3145877;Orizânia;;;62,668;64,392;71,67;
MG;3145901;Ouro Branco;55,65;57,48;66,618;71,231;77,31;
MG;3146008;Ouro Fino;50,58;55,35;69,642;74,571;76,66;
MG;3146107;Ouro Preto;51,72;56,47;64,225;70,261;75,03;
MG;3146206;Ouro Verde de Minas;40,72;55,25;55,535;60,65;72,35;
MG;3146255;Padre Carvalho;;;65,463;68,918;72,71;
MG;3146305;Padre Paraíso;42,43;52,73;63,669;67,638;72,83;
MG;3146404;Paineiras;49,97;61,27;66,89;73,897;74,41;
MG;3146503;Pains;53,35;62,14;68,59;74,357;77,43;
MG;3146552;Pai Pedro;;;56,339;61,197;70,62;
MG;3146602;Paiva;53,63;58,11;66,689;68,373;75,72;
MG;3146701;Palma;51,19;57,71;67,114;70,936;75,45;
MG;3146750;Palmópolis;;;61,357;65,44;69,29;
MG;3146909;Papagaios;53,84;59,73;68,016;68,431;74,96;
MG;3147006;Paracatu;55,28;56,34;64,971;70,66;76,22;
MG;3147105;Pará de Minas;54,01;58,83;69,404;74,76;75,87;
MG;3147204;Paraguaçu;52,42;57,66;65,416;73,964;75,98;
MG;3147303;Paraisópolis;47,4;57,77;69,631;72,849;76,11;
MG;3147402;Paraopeba;50,31;55,19;66,302;70,442;72,55;
MG;3147501;Passabém;49,46;58,43;65,543;67,777;72,23;
MG;3147600;Passa Quatro;47,14;56,67;65,485;72,828;76,59;
MG;3147709;Passa Tempo;52,62;62,64;68,259;71,993;73,46;
MG;3147808;Passa-Vinte;53,96;62,03;66,275;72,705;73,53;
MG;3147907;Passos;50,5;58,41;66,036;72,111;78,15;
MG;3147956;Patis;;;59,408;63,836;72,23;
MG;3148004;Patos de Minas;53,06;58,16;67,68;73,935;76,31;
MG;3148103;Patrocínio;52,55;61,1;68,665;74,367;76,14;
MG;3148202;Patrocínio do Muriaé;54,17;56,95;66,827;72,022;72,78;
MG;3148301;Paula Cândido;50,78;57,74;64,423;68,365;74,38;
MG;3148400;Paulistas;48,59;59,3;66,559;71,381;72,44;
MG;3148509;Pavão;44,34;55,24;65,925;69,76;73,77;
MG;3148608;Peçanha;47,7;54,98;60,333;62,287;72,23;
MG;3148707;Pedra Azul;48,53;52,77;62,48;65,781;72,79;
MG;3148756;Pedra Bonita;;;65,668;69,053;69,41;
MG;3148806;Pedra do Anta;47,35;56,8;55,327;64,542;74,26;
MG;3148905;Pedra do Indaiá;55,51;59;68,59;74,357;75,6;
MG;3149002;Pedra Dourada;50,92;54,89;65,702;68,401;74,64;
MG;3149101;Pedralva;53,7;56,36;66,851;70,901;73,39;
MG;3149150;Pedras de Maria da Cruz;;;63,726;65,35;72,22;
MG;3149200;Pedrinópolis;55,95;62,83;69,627;72,987;76,29;
MG;3149309;Pedro Leopoldo;48,01;56,12;71,029;74,001;76,33;
MG;3149408;Pedro Teixeira;52,13;58,2;62,603;66,089;72,61;
MG;3149507;Pequeri;49,27;60,54;62,414;68,373;77,05;
MG;3149606;Pequi;50,47;56,76;67,619;72,147;73,47;
MG;3149705;Perdigão;49,43;56,59;68,847;74,764;75,6;
MG;3149804;Perdizes;58,98;60,4;70,065;72,987;77,8;
MG;3149903;Perdões;51,27;57,66;68,133;74,697;77,69;
MG;3149952;Periquito;;;60,321;66,211;75,34;
MG;3150000;Pescador;47,93;55,46;63,143;68,692;74,85;
MG;3150109;Piau;54,02;57,63;68,045;71,582;74,42;
MG;3150158;Piedade de Caratinga;;;64,128;66,368;71,37;
MG;3150208;Piedade de Ponte Nova;45,8;57,5;57,59;63,134;73,14;
MG;3150307;Piedade do Rio Grande;49,7;60,97;64,389;67,396;74,22;
MG;3150406;Piedade dos Gerais;50,18;56,25;65,381;69,199;75,42;
MG;3150505;Pimenta;56,05;57,97;68,59;73,004;74,93;
MG;3150539;Pingo-d'Água;;;66,677;68,413;69,63;
MG;3150570;Pintópolis;;;61,687;65,059;72,96;
MG;3150604;Piracema;49,72;59,51;65,792;69,195;73,54;
MG;3150703;Pirajuba;53,23;59,14;70,211;73,349;76,46;
MG;3150802;Piranga;53,12;56,58;66,86;67,416;72,96;
MG;3150901;Piranguçu;47,83;56,15;66,424;70,862;73,36;
MG;3151008;Piranguinho;47,62;61,07;66,424;70,862;75,45;
MG;3151107;Pirapetinga;52,91;61,19;67,365;71,099;75,45;
MG;3151206;Pirapora;45,24;54,66;66,672;69,43;74,65;
MG;3151305;Piraúba;51,65;57,82;67,879;73,706;75,56;
MG;3151404;Pitangui;50,19;56,43;69,404;75,21;77,22;
MG;3151503;Piumhi;55,11;60,54;67,176;74,072;77,7;
MG;3151602;Planura;50,64;56,1;69,162;72,83;76,1;
MG;3151701;Poço Fundo;55,66;57,07;67,519;72,883;76,95;
MG;3151800;Poços de Caldas;50,9;56,87;71,475;75,983;77,31;
MG;3151909;Pocrane;49,52;59,81;66,872;69,484;72,91;
MG;3152006;Pompéu;50,04;57,36;67,681;69,606;75,05;
MG;3152105;Ponte Nova;46,55;56,44;64,246;69,826;75,9;
MG;3152131;Ponto Chique;;;63,178;67,038;72,81;
MG;3152170;Ponto dos Volantes;;;61,948;64,187;71,88;
MG;3152204;Porteirinha;47,49;54,99;60,578;61,842;72,74;
MG;3152303;Porto Firme;53,96;57,26;66,86;70,015;73,26;
MG;3152402;Poté;45,17;55,24;58,16;64,8;73,52;
MG;3152501;Pouso Alegre;51,89;57,26;70,986;73,199;77,33;
MG;3152600;Pouso Alto;48,4;59,35;68,14;71,629;75,81;
MG;3152709;Prados;49,09;55,7;67,9;71,075;76,89;
MG;3152808;Prata;57,17;60,42;65,521;70,423;76,12;
MG;3152907;Pratápolis;51,26;60,48;69,058;72,529;76,74;
MG;3153004;Pratinha;56,56;60,4;67,73;74,607;77,24;
MG;3153103;Presidente Bernardes;50,8;56,8;64,78;71,13;73,23;
MG;3153202;Presidente Juscelino;55,37;57,34;62,083;65,214;72,74;
MG;3153301;Presidente Kubitschek;44,24;56,25;64,979;66,234;72,22;
MG;3153400;Presidente Olegário;53,26;57,55;64,76;69,113;74,88;
MG;3153509;Alto Jequitibá;47,28;57,25;65,668;71,494;72,21;
MG;3153608;Prudente de Morais;49,69;56,81;68,057;70,974;72,7;
MG;3153707;Quartel Geral;54,73;58,09;65,006;69,766;75,74;
MG;3153806;Queluzito;53,74;57,48;65,244;70,637;74,39;
MG;3153905;Raposos;42,41;57,8;68,541;70,066;74,9;
MG;3154002;Raul Soares;50,3;56,73;67,759;69,826;74,36;
MG;3154101;Recreio;50,84;59,77;67,365;71,125;75,45;
MG;3154150;Reduto;;;60,919;69,675;73,08;
MG;3154200;Resende Costa;50,66;56,14;63,629;69,14;74,4;
MG;3154309;Resplendor;51,43;56,21;67,566;70,004;74,99;
MG;3154408;Ressaquinha;48,32;60,46;63,044;70,501;75,01;
MG;3154457;Riachinho;;;66,672;71,8;72,71;
MG;3154507;Riacho dos Machados;46,7;54,99;60,578;61,842;73,45;
MG;3154606;Ribeirão das Neves;48,59;54,66;65,638;71,383;74,31;
MG;3154705;Ribeirão Vermelho;56,06;61,02;64,671;70,675;76,01;
MG;3154804;Rio Acima;49,9;56,12;61,411;69,115;77,22;
MG;3154903;Rio Casca;49,51;54,48;61,585;66,366;73,79;
MG;3155009;Rio Doce;48,39;56,44;60,918;66,347;73,07;
MG;3155108;Rio do Prado;45,48;53,27;61,357;64,476;73,4;
MG;3155207;Rio Espera;48,42;55,19;65,281;66,121;73,03;
MG;3155306;Rio Manso;50,18;56,25;65,381;68,861;73,11;
MG;3155405;Rio Novo;56,73;59,79;68,595;72,027;75,07;
MG;3155504;Rio Paranaíba;52,37;61,11;69,156;71,488;76,28;
MG;3155603;Rio Pardo de Minas;52,13;54,9;61,217;66,767;72,85;
MG;3155702;Rio Piracicaba;51,88;58,92;62,044;67,398;72,63;
MG;3155801;Rio Pomba;55,22;58,7;68,974;73,397;76,77;
MG;3155900;Rio Preto;53,38;54,66;68,595;71,582;75,84;
MG;3156007;Rio Vermelho;51,73;55,9;62,279;64,041;72,23;
MG;3156106;Ritápolis;50,33;53,72;61,738;67,749;73,91;
MG;3156205;Rochedo de Minas;52,13;60,3;68,045;72,027;75,92;
MG;3156304;Rodeiro;57,98;59,79;67,531;71,275;72,84;
MG;3156403;Romaria;53;59,64;66,134;70,583;73,78;
MG;3156452;Rosário da Limeira;;;66,827;70,734;73,69;
MG;3156502;Rubelita;51,49;54,93;63,257;69,113;73,46;
MG;3156601;Rubim;50,28;55,35;56,877;61,379;73,99;
MG;3156700;Sabará;50,59;55,24;64,064;70,688;74,99;
MG;3156809;Sabinópolis;51,77;56,9;66,827;69,661;73,71;
MG;3156908;Sacramento;55,39;61,99;68,613;73,334;77,25;
MG;3157005;Salinas;49,82;54,9;65,439;69,365;73,9;
MG;3157104;Salto da Divisa;41,68;53,09;62,211;64,686;75,74;
MG;3157203;Santa Bárbara;46,34;56,31;65,707;69,518;73,97;
MG;3157252;Santa Bárbara do Leste;;;62,786;70,073;73,01;
MG;3157278;Santa Bárbara do Monte Verde;;;62,031;66,089;74,37;
MG;3157302;Santa Bárbara do Tugúrio;44,69;56,59;61,213;65,336;73,57;
MG;3157336;Santa Cruz de Minas;;;64,561;71,31;75,35;
MG;3157377;Santa Cruz de Salinas;;;56,363;60,282;70,41;
MG;3157401;Santa Cruz do Escalvado;48,61;57,4;62,811;66,347;73,91;
MG;3157500;Santa Efigênia de Minas;48,94;55,43;63,267;69,203;72,57;
MG;3157609;Santa Fé de Minas;54,15;58,02;59,565;63,272;73,26;
MG;3157658;Santa Helena de Minas;;;61,788;62,633;68,37;
MG;3157708;Santa Juliana;58,95;63,36;71,475;72,987;77,06;
MG;3157807;Santa Luzia;45,59;55,17;64,064;69,464;76,52;
MG;3157906;Santa Margarida;50,39;54,92;60,744;65,296;72,07;
MG;3158003;Santa Maria de Itabira;47,7;56,77;62,742;65,938;74,24;
MG;3158102;Santa Maria do Salto;47,29;53,59;61,357;63,528;70,92;
MG;3158201;Santa Maria do Suaçuí;49,5;52,04;57,94;62,679;74,03;
MG;3158300;Santana da Vargem;52,84;58,03;63,789;70,466;75,98;
MG;3158409;Santana de Cataguases;51,39;60,34;65,762;71,125;72,58;
MG;3158508;Santana de Pirapama;54,12;59,1;62,488;66,824;73,93;
MG;3158607;Santana do Deserto;53,25;57,63;68,045;71,461;75,93;
MG;3158706;Santana do Garambéu;49,88;60,79;64,561;66,38;74,32;
MG;3158805;Santana do Jacaré;50,87;54,58;65,672;68,38;72,37;
MG;3158904;Santana do Manhuaçu;50,74;58,25;60,771;65,032;73,53;
MG;3158953;Santana do Paraíso;;;63,428;67,655;77,66;
MG;3159001;Santana do Riacho;48,1;56,76;63,467;65,616;75,02;
MG;3159100;Santana dos Montes;53,71;57,48;64,112;67,575;73,04;
MG;3159209;Santa Rita de Caldas;55,62;57,31;67,564;72,383;74,36;
MG;3159308;Santa Rita de Jacutinga;51,52;62,45;68,045;70,842;74,58;
MG;3159357;Santa Rita de Minas;;;61,767;65,318;72,48;
MG;3159407;Santa Rita de Ibitipoca;53,41;57,2;66,689;68,688;72,6;
MG;3159506;Santa Rita do Itueto;51,07;58,31;63,924;70,004;71,76;
MG;3159605;Santa Rita do Sapucaí;47,35;54,58;68,245;72,5;74,8;
MG;3159704;Santa Rosa da Serra;48,95;58,84;66,863;72,366;76,95;
MG;3159803;Santa Vitória;51,62;58,99;68,462;72,207;76,88;
MG;3159902;Santo Antônio do Amparo;53,95;58,9;65,307;69,195;74,39;
MG;3160009;Santo Antônio do Aventureiro;53,95;60,34;62,535;68,575;75,45;
MG;3160108;Santo Antônio do Grama;45,12;56,44;64,613;66,347;74,36;
MG;3160207;Santo Antônio do Itambé;48,99;55,9;63,212;67,718;72,65;
MG;3160306;Santo Antônio do Jacinto;47,28;53,59;58,174;65,805;71,33;
MG;3160405;Santo Antônio do Monte;52,59;59,34;68,847;72,096;75,37;
MG;3160454;Santo Antônio do Retiro;;;56,363;65,914;72,03;
MG;3160504;Santo Antônio do Rio Abaixo;53,98;55,02;63,527;67,777;74,39;
MG;3160603;Santo Hipólito;54,72;56,63;63,975;66,318;74,44;
MG;3160702;Santos Dumont;50,73;58,4;67,314;71,582;75,84;
MG;3160801;São Bento Abade;57,85;58,03;63,789;68,419;73,03;
MG;3160900;São Brás do Suaçuí;56,69;57,48;65,273;69,027;73,04;
MG;3160959;São Domingos das Dores;;;66,677;71,187;73,01;
MG;3161007;São Domingos do Prata;47,92;57,18;65,707;71,742;74,36;
MG;3161056;São Félix de Minas;;;59,504;64,472;72,68;
MG;3161106;São Francisco;49,33;55,56;65,381;69,205;73,26;
MG;3161205;São Francisco de Paula;53,26;59,32;65,326;69,195;73,69;
MG;3161304;São Francisco de Sales;55,25;57,38;69,643;73,897;77,01;
MG;3161403;São Francisco do Glória;50,75;56,95;63,492;68,401;74,96;
MG;3161502;São Geraldo;50,58;55,81;67,879;71,169;74,85;
MG;3161601;São Geraldo da Piedade;46,31;53,21;63,143;66,718;71,43;
MG;3161650;São Geraldo do Baixio;;;66,825;69,382;74,43;
MG;3161700;São Gonçalo do Abaeté;53,4;56,16;64,423;70,66;72,75;
